image,collection,name,type_of_bid,favourite,eth_value,token_id
https://lh3.googleusercontent.com/kVVevhk9BBE5BSuIoQfkH5_5FVsPTJCR34wpVBf1ACURh9dfNaybChPgiicte10yb6SYVp5iMQNXaQrOnHXmRiiOtVxUzYJR3M1I=h600,BLACK NFT - ART Investment,ART Investment #038,Price,0,0.0004,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/80217713026250859772875795890774598927212764980236026780025450094933688975361
https://lh3.googleusercontent.com/mtqr5q90vq-A5AfgNVLhoBbXVvtxTXT897oCa2RjDkKN72hDjvWhHpxjSjvW9vp-5Lj4fZRURqYFBnMUoDstad7OwYxZx4i0wxMQnw=w305,NFT Blobs,NFT Blobs - Antonetta Dietrich #004285,Price,0,0.0004,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/37604664032961095530448309179512220767467021958912727495394807496709813305345
https://lh3.googleusercontent.com/qHi8W5L_iVd2LJ9h6yG9wRFFog9fDPxhKYjvJcu_O4hhJ7aBWdYB0FRCkFNb5d52lmdjgzDcqYrQIizphi8gCYSHjMo-PFLTBRzuxdk=w305,NFT Blobs,NFT Blobs - Mitchel Kiehn #002591,Price,0,0.0004,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/37604664032961095530448309179512220767467021958912727495394805624241511202817
https://lh3.googleusercontent.com/mLeZBI7vcl3KARUqyABflkteunouKQRIUQps6zhhzuS32uXxxbtnZjvtrimYfbTNf05_HKr5VDf-EzKqrlJE-JQ7V7HuswOqagvN=w305,NFT Blobs,NFT Blobs - Bertrand Wyman #004208,Price,0,0.0004,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/23701020366541490672517358800526051910803039980446114302153404598097436213249
